size,S470,S471,S472,S473,S474R,S474,S475,S476,S477,S478,S479R,S479,S479B,S480,S481,S482,S483,S484,S484B,S678,S1221,TD,TD2,478O1,478O2,478O3,478Oave
66.9,82.25928863,45.36919815,87.09461486,92.74080453,86.64947367,75.32059136,91.98171156,88.06052045,76.24577193,93.52516631,71.65445497,69.82010189,77.92056567,79.61924746,68.58393891,81.20325241,46.63585588,80.05865015,67.39273086,87.9282343,78.47760348,96.46419712,94.41500978,87.93,87.65,86.73,87.43666667
76,83.33690206,47.91135022,89.31190675,93.75298151,87.74597139,76.55471108,93.04221128,89.16144643,77.96148273,94.45764747,72.56525771,70.86355477,79.1856087,80.81243677,69.55015354,82.32003827,48.34069444,81.46845783,68.92364268,88.88688114,82.49722952,97.38222373,95.53060345,88.65,88.36,87.43,88.14666667
86.4,84.4495247,50.49426857,91.22148271,94.58979894,88.7340276,77.73380382,93.92316036,90.12074386,79.67526553,95.23684802,73.40364451,71.8343751,80.40615742,81.89374645,70.44483363,83.35589992,50.09569223,82.78942882,70.47554288,89.76126377,85.58187111,98.04525812,96.3915813,89.27,88.98,88.02,88.75666667
98.1,85.59307974,53.04896939,92.83581212,95.3011832,89.65232774,78.89770766,94.6792673,90.98768768,81.39858384,95.90330002,74.21324204,72.77959985,81.62546669,82.906903,71.32293953,84.35670981,51.87631716,84.03306848,72.05880072,90.56483719,88.0117323,98.55282876,97.07999648,89.81,89.51,88.54,89.28666667
111,86.78241805,55.59793415,94.19735843,95.92597167,90.53120663,80.09535957,95.34725959,91.79869207,83.16178956,96.48664762,75.06542825,73.77293037,82.91040063,83.92429835,72.27480816,85.37967255,53.65973555,85.2375001,73.69750683,91.32440381,89.99283238,98.95978032,97.65591673,90.29,89.98,88.99,89.75333333
127,88.20016783,58.56898347,95.48308481,96.55479025,91.50073589,81.5389024,96.01940308,92.67274693,85.22070799,97.06655822,76.18591936,75.06398595,84.50737853,85.16127808,73.57145886,86.61873024,55.67355085,86.60269806,75.64216319,92.1601393,91.82163745,99.3246209,98.20386041,90.7,90.39,89.38,90.15666667
144,89.63308005,61.62649039,96.49412653,97.09964368,92.42853298,83.04974314,96.60271514,93.48794709,87.23089525,97.56158396,77.55034025,76.61259755,86.21397456,86.49549194,75.1965583,87.92777687,57.62957433,87.95648616,77.60975643,92.95820353,93.24939507,99.6092282,98.63550244,91.06,90.75,89.72,90.51
163,91.13470284,65.0805949,97.35370024,97.62193074,93.39156531,84.7354099,97.16470916,94.3153243,89.23067016,98.0297677,79.40530627,78.68355351,88.12706385,88.06320953,77.44142264,89.40814673,59.6674686,89.41966582,79.69520834,93.78579887,94.51255068,99.87297483,98.99999115,91.38,91.06,90,90.81333333
186,92.77877678,69.37994876,98.11217849,98.15084239,94.45953213,86.71324001,97.73435238,95.21688244,91.32178105,98.48961615,82.16578844,81.67602772,90.35165758,90.03019239,80.7824895,91.17495106,62.03448673,91.13122096,82.06974936,94.71125115,95.711488,100,99.36913752,91.66,91.33,90.25,91.08
211,94.30521703,74.11037887,98.68266445,98.61081858,95.47632368,88.69392767,98.22735067,96.06686548,93.21050972,98.87642207,85.5200152,85.19368509,92.49284493,92.07792499,84.74810877,92.94095985,64.66006787,92.84668262,84.45160993,95.60955528,96.67884951,100,99.70431531,91.93,91.57,90.48,91.32666667
240,95.70955219,79.42307907,99.17541041,99.04724308,96.45691768,90.72058227,98.69500736,96.88766063,94.90761191,99.25339697,89.185194,88.92851127,94.47434936,94.07602236,88.83980817,94.65008355,68.01087788,94.53225767,86.91639197,96.49715879,97.52542978,100,99.92653338,92.19,91.81,90.69,91.56333333
272,96.86444539,84.75451447,99.56068916,99.42615756,97.31370953,92.62107804,99.10359933,97.60948736,96.27936061,99.5850108,92.61771976,92.34007981,96.09091003,95.78597332,92.43819569,96.11754657,72.14327976,96.00800737,89.29831579,97.29551704,98.20684785,100,100,92.47,92.06,90.91,91.81333333
310,97.8204866,89.88982388,99.83754784,99.74965239,98.06962369,94.44125501,99.46027791,98.25471832,97.43258872,99.84466844,95.52396369,95.18199963,97.38785007,97.19539677,95.30876733,97.35000133,77.64485089,97.2724319,91.74163619,98.02315799,98.77593486,100,100,92.81,92.35,91.17,92.11
352,98.51693992,93.83233576,99.97809649,99.96191947,98.65090566,95.95808156,99.7196959,98.76164515,98.31809415,99.97873907,97.33159174,96.93630622,98.27487892,98.14726553,96.98480884,98.21797942,83.81834616,98.17722845,93.96670312,98.60079317,99.21313829,100,100,93.22,92.72,91.5,92.48
400,99.04251646,96.57889681,100,100,99.10510388,97.1835873,99.8856661,99.16643632,98.98023477,100,98.49758287,98.05187682,98.91568134,98.83027528,98.03335355,98.85912072,89.35450672,98.84447709,95.81050338,99.06139991,99.55116896,100,100,93.73,93.19,91.92,92.94666667
454,99.42020368,98.14463516,100,100,99.44522358,98.09236022,99.96216933,99.47827728,99.42445071,100,99.17221495,98.68554409,99.35529387,99.29925083,98.63739353,99.31193709,93.5717096,99.30902878,97.16938928,99.41376644,99.78325868,100,100,94.34,93.77,92.46,93.52333333
516,99.72490561,99.00508066,100,100,99.73378342,98.78181715,99.98748654,99.74950447,99.73962596,100,99.6003163,99.10023884,99.69392505,99.66431759,99.03699003,99.67230352,96.40751443,99.67203211,98.15297724,99.71856135,99.92453638,100,100,95.06,94.47,93.12,94.21666667
586,99.98046626,99.65467172,100,100,99.98036335,99.32989295,100,99.98138034,99.98040473,100,99.97307655,99.51275154,99.9782297,99.9753773,99.43350619,99.97618708,97.99947745,99.97635906,98.89007634,99.97927841,99.99505486,100,100,95.86,95.27,93.88,95.00333333
666,100,99.94882405,100,100,100,99.68057024,100,100,100,100,100,99.7006011,100,100,99.63536741,100,99.05741469,100,99.43759506,100,100,100,100,96.7,96.12,94.73,95.85
756,100,100,100,100,100,99.87665848,100,100,100,100,100,99.77221896,100,100,99.73623361,100,99.73569153,100,99.79858789,100,100,100,100,97.52,96.98,95.61,96.70333333
859,100,100,100,100,100,99.98584061,100,100,100,100,100,99.88611616,100,100,99.87185785,100,100,100,99.98498751,100,100,100,100,98.27,97.79,96.47,97.51
976,100,100,100,100,100,100,100,100,100,100,100,99.99477177,100,100,99.99254801,100,100,100,100,100,100,100,100,98.9,98.49,97.27,98.22
1110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.39,99.05,97.96,98.8
1260,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.74,99.47,98.53,99.24666667
1430,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.94,99.74,98.98,99.55333333
1630,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.91,99.32,99.74333333
1850,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.58,99.86
2100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.77,99.92333333
2390,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.91,99.97
2710,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3080,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
