size,S470,S471,S472,S473,S474R,S474,S475,S476,S477,S478,S479R,S479,S479B,S480,S481,S482,S483,S484,S484B,S678,S1221,TD,TD2
0.172,0.75,0,0.18,0,0,1.53,0,0,0,0,1.54,1.08,0.86,1.78,0.19,1.6,0,0.82,0.25,0,0,0,0
0.145,0.32,0,0,0,0,1.15,0,0,0,0,1.03,0.63,0.51,1.21,0,1.06,0,0.36,0,0,0,0,0
0.122,0,0,0,0,0,0.81,0,0,0,0,0.59,0.35,0.24,0.73,0,0.6,0,0,0,0,0,0,0
0.102,0,0,0,0,0,0.51,0,0,0,0,0.22,0.11,0.11,0.33,0,0.22,0,0,0,0,0,0,0
0.086,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.072,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
